Date,AAPL,AMZN,ED,F,JNJ,JPM,ORCL,TSLA,V,WMT,XOM
202312,1.013582532,1.040043851,1.009543898,1.188109094,1.013448867,1.089825756,0.90723692,1.034988312,1.014298011,1.016349837,0.973136125
202311,1.113780188,1.097678266,1.035921918,1.052307716,1.050954147,1.122393234,1.123887775,1.195379437,1.094115026,0.952756942,0.979494413
202310,0.997430048,1.046963448,1.026423518,0.797264681,0.952423732,0.965977742,0.979780737,0.802653646,1.022129569,1.021759582,0.900238125
202309,0.911321677,0.921092731,0.961443357,1.023907639,0.963322616,0.991047634,0.879807286,0.969544383,0.936217808,0.983518808,1.05746922
202308,0.957616153,1.032390799,0.946362187,0.918243771,0.972087879,0.926373768,1.026955522,0.965037556,1.035384607,1.020818697,1.045332723
202307,1.012785438,1.025467874,1.049336263,0.88260379,1.012143559,1.09354243,0.987836245,1.02162205,1.001052687,1.017050546,0.999906636
202306,1.094330182,1.081107967,0.968917426,1.260833296,1.067457699,1.071696982,1.124126746,1.283626727,1.0744243,1.070198107,1.049618385
202305,1.046058313,1.143480373,0.955354529,1.010101001,0.954367384,0.981698509,1.118454403,1.241129546,0.951578738,0.976537694,0.870936808
202304,1.028987223,1.020911957,1.029267359,0.95463306,1.056128913,1.069180508,1.023640275,0.792008061,1.032245129,1.023872576,1.07915358
202303,1.118648699,1.096147694,1.070733082,1.043910528,1.011353231,0.909033868,1.063157834,1.008507121,1.025097785,1.041682485,0.997725411
202302,1.023182861,0.913701211,0.945721952,0.949734508,0.944574193,1.024221099,0.988017285,1.187564977,0.957259798,0.987905904,0.954708596
202301,1.110521056,1.227738063,1,1.16165083,0.925106284,1.051408133,1.086269787,1.406234785,1.108057401,1.01466959,1.051767969
202212,0.877727596,0.870105647,0.972154135,0.836690805,0.992415548,0.970473516,0.98446352,0.632665651,0.957419407,0.933765382,0.990659275
202211,0.966972541,0.942405297,1.12454251,1.050508337,1.029769025,1.097712008,1.063532548,0.85567374,1.049840782,1.070891524,1.01287178
202210,1.109551174,0.906548694,1.025652901,1.193749854,1.064948647,1.215370656,1.284940838,0.857832208,1.166113202,1.097378512,1.269155943
